0.04482	0.75854	0.09814	0.07641	0.02709	
0.0405	0.84764	0.03537	0.05187	0.02962	
0.02062	0.01474	0.94384	0.01496	0.01084	
0.06066	0.6742	0.12813	0.07647	0.06553	
0.02056	0.06056	0.87456	0.042	0.00731	
0.00709	0.01007	0.01329	0.00841	0.96613	
0.05962	0.58585	0.20614	0.08791	0.06549	
0.04288	0.83705	0.03511	0.07914	0.01083	
0.91904	0.01626	0.01664	0.03769	0.01537	
0.91475	0.03734	0.0171	0.02652	0.00929	
0.05568	0.05034	0.01444	0.87915	0.00538	
0.01945	0.012	0.01822	0.94443	0.01091	
0.21353	0.06314	0.02155	0.69216	0.01463	
0.94478	0.0146	0.0133	0.02495	0.00736	
0.00913	0.00825	0.97317	0.0091	0.00535	
0.94408	0.01495	0.01118	0.0275	0.0073	
0.02346	0.90122	0.0352	0.02881	0.01632	
0.07438	0.24188	0.08793	0.08201	0.51879	
0.03048	0.31462	0.02892	0.0371	0.59389	
0.08238	0.78334	0.06007	0.05962	0.01959	
